PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
300,330,1,1280,2.56,1280,2.56,201649388311440,201649388312199,759,2.8669301712779975,1.686429512516469
300,340,1,1280,2.56,1280,2.56,277499182003871,277499182004636,765,2.8444444444444446,1.673202614379085
300,350,1,1280,2.56,1280,2.56,203840873082680,203840873083439,759,2.8669301712779975,1.686429512516469
300,360,1,1280,2.56,1280,2.56,203548984638803,203548984639562,759,2.8669301712779975,1.686429512516469
300,370,1,1280,2.56,1280,2.56,201328323237688,201328323238447,759,2.8669301712779975,1.686429512516469
300,380,1,1280,2.56,1280,2.56,271905368285770,271905368286529,759,2.8669301712779975,1.686429512516469
300,390,1,1280,2.56,1280,2.56,201585938578960,201585938579720,760,2.863157894736842,1.6842105263157894
300,400,1,1280,2.56,1280,2.56,253327491696348,253327491697113,765,2.8444444444444446,1.673202614379085
300,410,1,1280,2.56,1280,2.56,87287971744611,87287971745370,759,2.8669301712779975,1.686429512516469
300,420,1,1280,2.56,1280,2.56,142246853570617,142246853571376,759,2.8669301712779975,1.686429512516469
300,430,1,1280,2.56,1280,2.56,120827507671799,120827507672563,764,2.8481675392670156,1.675392670157068
300,440,1,1280,2.56,1280,2.56,203806514918568,203806514919327,759,2.8669301712779975,1.686429512516469
300,450,1,1280,2.56,1280,2.56,200542477907597,200542477908355,758,2.8707124010554086,1.6886543535620053
310,300,1,1280,2.56,1280,2.56,280770318496461,280770318497220,759,2.8669301712779975,1.686429512516469
